name,node_id,node_type,is_hub,compatibility_score,affinity_tier,rank,category,culinary_rank
crushed_pineapple,1750,ingredient,no_hub,0.6066161351554616,MID-HIGH,179,Fruit,1
pecan,4716,ingredient,hub,0.56158919951307,MID-HIGH,598,Nut/Seed,2
macadamia_nut,4013,ingredient,hub,0.5189586886769476,MID-HIGH,1170,Nut/Seed,3
papaya,4600,ingredient,hub,0.4984023471265381,MID-HIGH,1511,Fruit,4
sweetened_condensed_milk,6291,ingredient,no_hub,0.4801262770669162,MID-HIGH,1893,Beverage,5
nut,4433,ingredient,hub,0.4729986855045139,MID-HIGH,2089,Nut/Seed,6
date,1845,ingredient,hub,0.46816249183662867,MID-HIGH,2235,Fruit,7
ground_nutmeg,3096,ingredient,no_hub,0.4641933690403436,MID-HIGH,2340,Nut/Seed,8
crushed_red_pepper_flake,1755,ingredient,no_hub,0.46112071923253123,MID-HIGH,2451,Spice,9
fresh_lime_juice,2522,ingredient,no_hub,0.4607125115539159,MID-HIGH,2463,Beverage,10
fruit_salad,2764,ingredient,hub,0.4579482531156948,MID-HIGH,2568,Fruit,11
cinnamon,1368,ingredient,hub,0.45651550739129493,MID-HIGH,2617,Spice,12
kiwi,3587,ingredient,hub,0.4544969741629193,MID-HIGH,2681,Fruit,13
banana,302,ingredient,hub,0.4544438684385787,MID-HIGH,2683,Fruit,14
pineapple,4846,ingredient,hub,0.4523439941230819,MID-HIGH,2756,Fruit,15
mulberry,4319,ingredient,hub,0.45026249505753163,MID-HIGH,2850,Fruit,16
walnut,6775,ingredient,hub,0.4465927970349008,MID-HIGH,3024,Nut/Seed,17
nutmeg,4438,ingredient,hub,0.44578167807696484,MID-HIGH,3063,Nut/Seed,18
almond,88,ingredient,hub,0.44526940621921285,MID-HIGH,3087,Nut/Seed,19
coffee,1458,ingredient,hub,0.44186604953937825,MID-LOW,3235,Beverage,20
