tweet_id,text,created_at,user_name,user_screen_name,user_followers,favorite_count,retweet_count,reply_count,language,query,scraped_at,source
2021126757185880478,"@Cryptorealis Om GPT jawab ya, panjang lebar sekalian 👇

Kasusnya Om Don

2 hari:
•❌ ga makan nasi
•✅ makan lauk pauk + sayur
•☕ kopi siang masih pakai gula

Putusan sementara:

👉 Diet Om Don SAH, tapi BELUM PARIPURNA.

⸻

1️⃣ Ga makan nasi

Ini niatnya sudah benar 👍
Nasi itu karbo",Tue Feb 10 07:39:04 +0000 2026,,,2499,1,0,1,in,susu protein pahit,2026-05-13T14:20:03.192381,twitter
1914600537364033747,"Sekarang tengah hangat isu whey protein yang tipu keputusan lab test. Sepanjang aku guna whey, yang paling aku rasa betul-betul legit adalah daripada Hazim Khalim. Whey dia memang rasa pure—pahit, tak sedap, rasa macam susu mentah. Solid food better

 https://t.co/oEqqkP0ZP4 https://t.co/ZMtbTakMl5",Tue Apr 22 08:41:54 +0000 2025,,,183,1,0,0,in,susu protein pahit,2026-05-13T14:20:12.521806,twitter
1902286003911491949,"Kenapa kok pakai susu biasa bikin lebih “heavy”? Karena susu biasa protein dan lemaknya lebih rendah.

Jadi enggak sepowerful itu dalam mengikat partikel di matcha terutama yang bikin umami dan pahit.

Meanwhile “heaviness” matcha itu timbul dari “(almost-)sharp intensity”. https://t.co/NV1d46W0tN",Wed Mar 19 09:08:20 +0000 2025,,,18456,1,0,0,in,susu protein pahit,2026-05-13T14:20:12.521828,twitter
1901284812733678033,@ezabcdefg Ini mah protein dari susu pecah gara gara bromelin deh makanya pahit,Sun Mar 16 14:49:58 +0000 2025,,,837,0,0,1,in,susu protein pahit,2026-05-13T14:20:12.521833,twitter
1827909465414525369,"Aku dibilang kurusan. 🤣
Wkwkwk hasil abis sakit 2mingguan.
Lidah pahit gk doyan makan. 
Rutin minum susu protein &amp; kadang air kelapa. 
Cuma turun 2kg tapi pipi jadinya kempes &amp; punya rahang kembali. 
😁😆",Mon Aug 26 03:22:32 +0000 2024,,,459,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521837,twitter
1825511949460713805,"Udh berobat ke dokter Sp A dibfatmawati
Disarankan minum susu tinggi protein (neocate junior), rasa susunya pahit
Namun apa boleh buat
Harus ngikutin apa kata dokter",Mon Aug 19 12:35:39 +0000 2024,,,308,1,0,0,in,susu protein pahit,2026-05-13T14:20:12.521840,twitter
1798308033430495243,"Rasa kopinya tidak pahit di lidah dan aman di lambung, lalu dipadukan dgn rasa susu yg menyegarkan. Protein susu yg menyatu dgn kopi menciptakan rasa unik yg menjadi ciri khas cappucino dan latte

tunggu apa lagi, segera beli di minimarket terdekat dan dapatkan promo buy 2 get 1 https://t.co/MD2FLL18ZJ",Wed Jun 05 10:57:00 +0000 2024,,,1,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521843,twitter
1766694344579510485,@mashijuseyo pernah terbaca sbb ada benda dlm kiwi tu breaks protein dlm susu tu. so dia akan jdi pahit. something like that la😂tpi boleh je letak madu nk hilangkan pahit,Sun Mar 10 05:15:29 +0000 2024,,,864,0,0,1,in,susu protein pahit,2026-05-13T14:20:12.521846,twitter
1718617023335575948,"👈 Minum susu setiap hari minimum segelas, 250ml. Samada melalui latte atau cuma segelas susu. Hanya peminum kopi tegar yang kata latte tanpa gula ni manis. Orang lain semua kata kopi pahit. 

Juga diri ini,consume milk sebab nak dapatkan protein, vitamin D dan kalsium.",Sun Oct 29 13:13:23 +0000 2023,,,496,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521855,twitter
1674331365570121730,"Hadiah terakhir yang di minta: ""Aku mau Muse!""
Makanan kesukaan: Pão de Queijo (suka olahan susu)
Makanan yang gak suka: Yang pahit
Lauk 
Makanna yang cocok di dampingin nasi: Carne de Sol (butuh protein banyak apalagi sehabis latihan)",Thu Jun 29 08:17:59 +0000 2023,,,86,2,0,1,in,susu protein pahit,2026-05-13T14:20:12.521861,twitter
1595263682392784896,@Askrlfess Kalo pahit hrrti rusak dan tidak layak konsumsi. Karna ada bakteri yg bikin protein susu rusak,Wed Nov 23 03:51:15 +0000 2022,,,1056,12,0,0,in,susu protein pahit,2026-05-13T14:20:12.521864,twitter
1497152174153158656,"Samb: Untuk kegunaan pesakit yang mengalami alahan protein susu lembu (Cow’s Milk Protein Allergy; CMPA), malabsorption dan short bowel syndrome (SBS). Bau dan rasa berbeza dengan susu biasa: agak sedikit pahit dan hanyir.",Fri Feb 25 10:11:08 +0000 2022,,,1061,4,0,1,in,susu protein pahit,2026-05-13T14:20:12.521867,twitter
1261257202616029187,"@FOODFESS2 emang agak pahit nder karna fermentasi kejunya ngubah protein susu ke bentuk yang lebih sederhana jadinya bikin pahit nder, tapi pahitnya bukan yang pahit banget, lebih kaya abis makan kejunya langsung baru ada aftertaste pahitnya",Fri May 15 11:28:44 +0000 2020,,,142,1,0,1,in,susu protein pahit,2026-05-13T14:20:03.192470,twitter
1243501163560894469,"@andriisanjaya Prinsipnya sama sih klo kelamaan di setim nada dasar/suhu nya bakal nggk pas. Susu yg terlalu panas, kandungan protein dn gulanya akan pecah yg berakibat susu jd pahit dn kopi susu kamu bakalan nggk enak.

Saya kira demikian, baik penanya selanjutnya?",Fri Mar 27 11:32:35 +0000 2020,,,273,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521870,twitter
1228679834378702848,"5 drinks to get to know me

1. Whey protein
2. Susu Ultra
3. Kopi
4. Air mineral
5. Teh pahit tanpa gula",Sat Feb 15 13:57:54 +0000 2020,,,1513,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521873,twitter
1042242341317165056,@AkmalAffendy Sure la tak sedap. Susu low protein weh. Pahit rasa dia. Bluek,Wed Sep 19 02:41:52 +0000 2018,,,1061,0,0,1,in,susu protein pahit,2026-05-13T14:20:12.521885,twitter
1008759506967261184,"Dua hari ini orang serumah menerapkan makan sehat, buat detoksifikasi. Cuma makan sayur, granola, air putih, teh pahit, susu low fat. Yang ga kuat cuma saya. Tumbang! Nyeri perut. Butuh karbo dan protein 😅",Mon Jun 18 17:13:02 +0000 2018,,,2477,0,0,2,in,susu protein pahit,2026-05-13T14:20:03.192490,twitter
693418145227345920,"suplemen gua ? 

- Whey Protein Isolate
- Teh Pahit 3 Gelas
- Omega 3 Fish Oil
- Mastin
- Susu Kedelai Low Fat

ini aja cukup",Sat Jan 30 12:59:03 +0000 2016,,,46,1,0,0,in,susu protein pahit,2026-05-13T14:20:03.192495,twitter
506420064157839362,@ElannaEvans protein yg tak campuq dgn susu lagi sedap dari ubat tu. Pahit gila. Serious cakap. Nana dah biasa makan takpa lah. Hahaha,Mon Sep 01 12:35:26 +0000 2014,,,450,0,0,1,in,susu protein pahit,2026-05-13T14:20:03.192501,twitter
469726701354627074,"@HafizGentzzz peh, susu protein pahit gila",Fri May 23 06:29:07 +0000 2014,,,147,0,0,0,in,susu protein pahit,2026-05-13T14:20:03.192506,twitter
1752803366064026078,"@diethingy banyakin sayur buah n protein
kurangi n cut nasi putih, tepung, santan,gula,garam, susu olahan",Wed Jan 31 21:17:42 +0000 2024,,,3426,2,0,0,in,susu protein pahit,2026-05-13T14:20:12.521851,twitter
1696747951320924411,Alhamdulillah bersyukur bgt bisa pelan pelan ngubah habit dari yg eskopi susu jadi ice americano tanpa gula. Biasanya makan nasi lauk + nambah jadi sayur sm protein aja. Bisany gampang craving manis jadi kalo minum/makan manis gasuka dan jadinya pahit.,Wed Aug 30 04:53:30 +0000 2023,,,46,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521858,twitter
468850007383490560,"@tipsmenyusui bgm  mengoptimalkan asi setelah kena mastitis, krn bayi na alergi protein susu sapi,dikash susu Haa​ ga mau,agak pahit susuna",Tue May 20 20:25:27 +0000 2014,,,29,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035771,twitter
395946761824378880,"Ehh? Apasal Susu Protein Ni Pahit Semacam , Alahai Ni Malas Nak Minum Ni , :(",Thu Oct 31 16:13:59 +0000 2013,,,230,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035776,twitter
152520402114064384,"Kiwi ada Actinidin, Nanas ada Bromelain, Pepaya ada Papain, semuanya bisa memecah protein susu (Casein) jd asam amino/peptida yg pahit",Thu Dec 29 22:44:32 +0000 2011,,,267,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035780,twitter
134558034478366720,Kombinasi Susu Whey protein yg pahit ini dgn 1 buah pear jadi enaak.. Yess! ♥ it!,Thu Nov 10 09:08:30 +0000 2011,,,1000,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035783,twitter
105057100710952960,Uda basi kali RT @DananGWisnu: Susu protein yg katanya buat orang puasa ini kok rada pahit ya nek? Berasa ampe skr lho...,Sat Aug 20 23:22:19 +0000 2011,,,244,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035787,twitter
105045706842181633,Susu protein yg katanya buat orang puasa ini kok rada pahit ya nek? Berasa ampe skr lho...,Sat Aug 20 22:37:02 +0000 2011,,,205,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035791,twitter
12956736080,"Haha.. Tinggi protein ga? RT @ridhododol Kimbek !!! Selain pahit, uda kelat itu wak, beserat  RT @babecabiita: SUSAN = SUSU WAK HASAN !!! -",Tue Apr 27 17:46:31 +0000 2010,,,240,0,0,0,in,susu protein pahit,2026-05-13T14:20:06.035795,twitter
1204863434841612288,"Bismillah ..ayyamul bidh hr ke 3 
Plus hr KAMIS istimewa
Yukk ..sahur dg susu protein plus santan sasa mix kopi pahit 😍 #2020HarusKurus",Wed Dec 11 20:40:02 +0000 2019,,,122,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521876,twitter
1202347159485501441,"Assalamuallaikum semua'x salam subuh🤗
Mat bersantap sahur bgi yg menjlankn puasa sunah kamis.😇
Menu sahur qu susu protein mix kopi pahit plus santan kara
Mat menjaln kn puasa sunah semoga lancar smpai beduk tiba😇🤗",Wed Dec 04 22:01:16 +0000 2019,,,122,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521879,twitter
1090577776527187968,"Ini dia Minuman yang bikinn kurus Susu protein + kopi hitam pahit tanpa gula

Yang mau kurus, makan malamnya bisa susu protein , susu protein adalah protein susu sapi yang dihilangkan karbonya, Susu protein... https://t.co/w5Zfm8tCMA",Wed Jan 30 11:49:38 +0000 2019,,,122,0,0,0,in,susu protein pahit,2026-05-13T14:20:12.521882,twitter
2049679581406445744,"@bakuldimsum_ makan protein aja daging yg bnyk.
jgn kebanyakan minum sup kl rebusan, dan kgn kebanyakan bumbu celup kl yg bbq.
no minum yg manis2.
jgn makan yg keju2 or susu spy ga eneg",Thu Apr 30 02:37:48 +0000 2026,,,97,0,0,0,in,susu protein eneg,2026-05-13T14:21:29.276309,twitter
2045871697614790861,"selalu eneg tiap minum susu, tapi aku butuh asupan protein tbahan dari susu karna malas makan 😔",Sun Apr 19 14:26:37 +0000 2026,,,10,0,0,0,in,susu protein eneg,2026-05-13T14:21:29.276374,twitter
2044940072479514640,"kalo protein kadang dari daging , telur rebus dan susu protein, aku pake rimba mass udah bungkus ke 2, rasanya enak gak bikin eneg bonusnya ya dapat botol minum 😂 https://t.co/QL3U5g0jLz https://t.co/AfmO37f5rB",Fri Apr 17 00:44:41 +0000 2026,,,7087,1,0,0,in,susu protein eneg,2026-05-13T14:21:29.276388,twitter
