keyword,tfidf_score_neg,tfidf_score_pos,complaint_ratio
makan,0.0241,0.0,241.0
banget,0.0239,0.0,239.0
chalky,0.0184,0.0,184.0
kalo,0.0182,0.0,182.0
buat,0.0164,0.0,164.0
enak banget,0.016,0.0,160.0
bikin,0.016,0.0,160.0
minum,0.0159,0.0,159.0
aja,0.0153,0.0,153.0
low,0.0148,0.0,148.0
ya,0.0145,0.0,145.0
bitter,0.0138,0.0,138.0
mual,0.0135,0.0,135.0
tidak enak,0.0129,0.0,129.0
rasanya,0.0128,0.0,128.0
all,0.0126,0.0,126.0
sama,0.0125,0.0,125.0
enak,0.0589,0.013,4.4961832061068705
protein shake,0.065,0.0256,2.529182879377432
shake,0.0662,0.0309,2.1354838709677417
